date,day_type,hour,DE11,DE12,DE13,DE14,DE21,DE22,DE23,DE24,DE25,DE26,DE27,DE30,DE40,DE50,DE60,DE71,DE72,DE73,DE80,DE91,DE92,DE93,DE94,DEA1,DEA2,DEA3,DEA4,DEA5,DEB1,DEB2,DEB3,DED2,DED4,DED5,DEE0,DEF0,DEG0,Dec-00
1/3/2019 5:00,0,5,1742.4,1742.4,1742.4,1742.4,1742.4,1742.4,1742.4,1742.4,1742.4,1742.4,1742.4,1742.4,1742.4,1742.4,1742.4,1742.4,1742.4,1742.4,1742.4,1742.4,1742.4,1742.4,1742.4,1742.4,1742.4,1742.4,1742.4,1742.4,1742.4,1742.4,1742.4,1742.4,1742.4,1742.4,1742.4,1742.4,1742.4,1742.4
1/3/2019 6:00,0,6,5943.77,5943.77,5943.77,5943.77,5943.77,5943.77,5943.77,5943.77,5943.77,5943.77,5943.77,5943.77,5943.77,5943.77,5943.77,5943.77,5943.77,5943.77,5943.77,5943.77,5943.77,5943.77,5943.77,5943.77,5943.77,5943.77,5943.77,5943.77,5943.77,5943.77,5943.77,5943.77,5943.77,5943.77,5943.77,5943.77,5943.77,5943.77
1/3/2019 7:00,0,7,12410.13,12410.13,12410.13,12410.13,12410.13,12410.13,12410.13,12410.13,12410.13,12410.13,12410.13,12410.13,12410.13,12410.13,12410.13,12410.13,12410.13,12410.13,12410.13,12410.13,12410.13,12410.13,12410.13,12410.13,12410.13,12410.13,12410.13,12410.13,12410.13,12410.13,12410.13,12410.13,12410.13,12410.13,12410.13,12410.13,12410.13,12410.13
1/3/2019 8:00,0,8,16289.97,16289.97,16289.97,16289.97,16289.97,16289.97,16289.97,16289.97,16289.97,16289.97,16289.97,16289.97,16289.97,16289.97,16289.97,16289.97,16289.97,16289.97,16289.97,16289.97,16289.97,16289.97,16289.97,16289.97,16289.97,16289.97,16289.97,16289.97,16289.97,16289.97,16289.97,16289.97,16289.97,16289.97,16289.97,16289.97,16289.97,16289.97
1/3/2019 9:00,0,9,16160.67,16160.67,16160.67,16160.67,16160.67,16160.67,16160.67,16160.67,16160.67,16160.67,16160.67,16160.67,16160.67,16160.67,16160.67,16160.67,16160.67,16160.67,16160.67,16160.67,16160.67,16160.67,16160.67,16160.67,16160.67,16160.67,16160.67,16160.67,16160.67,16160.67,16160.67,16160.67,16160.67,16160.67,16160.67,16160.67,16160.67,16160.67
1/3/2019 10:00,0,10,12539.5,12539.5,12539.5,12539.5,12539.5,12539.5,12539.5,12539.5,12539.5,12539.5,12539.5,12539.5,12539.5,12539.5,12539.5,12539.5,12539.5,12539.5,12539.5,12539.5,12539.5,12539.5,12539.5,12539.5,12539.5,12539.5,12539.5,12539.5,12539.5,12539.5,12539.5,12539.5,12539.5,12539.5,12539.5,12539.5,12539.5,12539.5
1/3/2019 11:00,0,11,10340.93,10340.93,10340.93,10340.93,10340.93,10340.93,10340.93,10340.93,10340.93,10340.93,10340.93,10340.93,10340.93,10340.93,10340.93,10340.93,10340.93,10340.93,10340.93,10340.93,10340.93,10340.93,10340.93,10340.93,10340.93,10340.93,10340.93,10340.93,10340.93,10340.93,10340.93,10340.93,10340.93,10340.93,10340.93,10340.93,10340.93,10340.93
1/3/2019 12:00,0,12,9306.3,9306.3,9306.3,9306.3,9306.3,9306.3,9306.3,9306.3,9306.3,9306.3,9306.3,9306.3,9306.3,9306.3,9306.3,9306.3,9306.3,9306.3,9306.3,9306.3,9306.3,9306.3,9306.3,9306.3,9306.3,9306.3,9306.3,9306.3,9306.3,9306.3,9306.3,9306.3,9306.3,9306.3,9306.3,9306.3,9306.3,9306.3
1/3/2019 13:00,0,13,9435.61,9435.61,9435.61,9435.61,9435.61,9435.61,9435.61,9435.61,9435.61,9435.61,9435.61,9435.61,9435.61,9435.61,9435.61,9435.61,9435.61,9435.61,9435.61,9435.61,9435.61,9435.61,9435.61,9435.61,9435.61,9435.61,9435.61,9435.61,9435.61,9435.61,9435.61,9435.61,9435.61,9435.61,9435.61,9435.61,9435.61,9435.61
1/3/2019 14:00,0,14,9564.93,9564.93,9564.93,9564.93,9564.93,9564.93,9564.93,9564.93,9564.93,9564.93,9564.93,9564.93,9564.93,9564.93,9564.93,9564.93,9564.93,9564.93,9564.93,9564.93,9564.93,9564.93,9564.93,9564.93,9564.93,9564.93,9564.93,9564.93,9564.93,9564.93,9564.93,9564.93,9564.93,9564.93,9564.93,9564.93,9564.93,9564.93
1/3/2019 15:00,0,15,8788.99,8788.99,8788.99,8788.99,8788.99,8788.99,8788.99,8788.99,8788.99,8788.99,8788.99,8788.99,8788.99,8788.99,8788.99,8788.99,8788.99,8788.99,8788.99,8788.99,8788.99,8788.99,8788.99,8788.99,8788.99,8788.99,8788.99,8788.99,8788.99,8788.99,8788.99,8788.99,8788.99,8788.99,8788.99,8788.99,8788.99,8788.99
1/3/2019 16:00,0,16,7754.37,7754.37,7754.37,7754.37,7754.37,7754.37,7754.37,7754.37,7754.37,7754.37,7754.37,7754.37,7754.37,7754.37,7754.37,7754.37,7754.37,7754.37,7754.37,7754.37,7754.37,7754.37,7754.37,7754.37,7754.37,7754.37,7754.37,7754.37,7754.37,7754.37,7754.37,7754.37,7754.37,7754.37,7754.37,7754.37,7754.37,7754.37
